ESC signal (Âµs),Thrust (kgf),Voltage (V),Current (A),Normalized Throttle,Normalized Thrust,Corrected Thrust,Rescaled Thrust
1000,0.196,21.72,0.042,0,0,0.271,
1001,0.196,21.72,0.042,0,0,0.271,
1012,0.196,21.72,0.041,0,0,0.271,
1024,0.196,21.72,0.041,0,0,0.271,
1038,0.196,21.72,0.042,0,0,0.271,
1051,0.196,21.72,0.042,0,0,0.271,
1065,0.196,21.72,0.042,0,0,0.271,
1078,0.197,21.72,0.046,0,0,0.271,
1092,0.204,21.71,0.315,0,0,0.271,
1105,0.237,21.72,0.23,0,0,0.271,
1118,0.245,21.72,0.178,0,0,0.271,
1130,0.25,21.72,0.187,0,0,0.271,
1145,0.261,21.72,0.217,0,0,0.271,
1158,0.271,21.72,0.238,0.01,0.00505,0.2805009867,
1172,0.287,21.72,0.297,0.0275,0.014128125,0.2975804214,1.132492811
1186,0.303,21.72,0.311,0.045,0.0235125,0.3152360298,1.360978203
1198,0.314,21.71,0.354,0.05997237569,0.03178453077,0.3307988921,1.352859361
1212,0.335,21.71,0.428,0.0774643186,0.04173251963,0.3495148743,1.533576227
1225,0.358,21.71,0.482,0.09370683702,0.05124390416,0.3674094364,1.697762913
1239,0.378,21.71,0.547,0.1111987799,0.06178197429,0.3872355878,1.731896742
1252,0.398,21.71,0.608,0.1274412983,0.07184129143,0.4061610212,1.767785593
1266,0.418,21.71,0.665,0.1449332413,0.08296944284,0.4270973418,1.771736617
1279,0.439,21.71,0.722,0.1611757597,0.09357669259,0.4470536466,1.795318849
1292,0.451,21.71,0.771,0.1774182781,0.1044477617,0.4675062968,1.723349519
1306,0.472,21.71,0.849,0.194910221,0.1164501076,0.4900873125,1.726061093
1319,0.514,21.7,1.025,0.2110554788,0.127799947,0.5114407131,1.90140924
1332,0.546,21.7,1.11,0.2272905157,0.1394757471,0.5334073709,1.971668951
1346,0.574,21.7,1.191,0.2447744015,0.1523444545,0.557618345,1.988913879
1360,0.6,21.7,1.302,0.2622582873,0.1655188483,0.5824044321,1.987689036
1373,0.624,21.7,1.391,0.2784933241,0.1780259279,0.6059350454,1.98285724
1386,0.647,21.7,1.493,0.294728361,0.1907965839,0.629961547,1.970685179
1400,0.672,21.7,1.584,0.3122122468,0.2048443669,0.6563908145,1.957583731
1414,0.699,21.69,1.704,0.3295441989,0.219071789,0.6831580517,1.953697471
1429,0.726,21.69,1.796,0.3482683011,0.2347795553,0.7127103844,1.937988167
1443,0.748,21.69,1.919,0.3657441298,0.2497564492,0.7408876655,1.909860593
1457,0.774,21.69,2.05,0.3832199586,0.2650387476,0.7696395298,1.897835711
1470,0.804,21.69,2.192,0.3994475138,0.2795029151,0.796852176,1.906956856
1484,0.838,21.69,2.369,0.4169233425,0.295374208,0.8267121649,1.919598884
1498,0.872,21.69,2.513,0.4343991713,0.3115509056,0.8571467371,1.929058748
1512,0.915,21.68,2.788,0.4516666667,0.3278347222,0.8877828411,1.964404489
1526,0.964,21.67,3.025,0.4689180479,0.3444010918,0.9189505356,2.012188743
1540,1.001,21.67,3.215,0.4863777624,0.3614705451,0.9510647237,2.019528313
1555,1.039,21.68,3.482,0.5053176796,0.3803318184,0.9865500123,2.019289375
1568,1.082,21.67,3.699,0.5212971915,0.3965239767,1.017013672,2.045273546
1583,1.113,21.67,3.851,0.5400040285,0.4158041897,1.053287147,2.024991621
1596,1.15,21.66,4.103,0.5559599448,0.4325257025,1.084746725,2.03224917
1609,1.184,21.66,4.386,0.5721650552,0.4497689528,1.117187892,2.029931133
1623,1.224,21.65,4.57,0.5893444982,0.4683357178,1.152119098,2.034865084
1636,1.261,21.65,4.808,0.6055421271,0.4861116974,1.185562532,2.036568972
1650,1.289,21.65,5,0.6229857274,0.505548472,1.22213056,2.013654588
1664,1.321,21.64,5.245,0.6401335175,0.5249522189,1.258636449,2.00018204
1676,1.352,21.65,5.509,0.6553809853,0.5424526106,1.291561398,1.992800807
1690,1.388,21.64,5.748,0.6725138122,0.5623943198,1.329079401,1.986150928
1704,1.428,21.63,6.026,0.6896305249,0.5826103928,1.367113587,1.985889737
1717,1.463,21.63,6.275,0.7058131906,0.6019927253,1.403579188,1.980090373
1730,1.493,21.62,6.564,0.7216620626,0.6212290976,1.439770182,1.967068195
1746,1.519,21.62,6.887,0.7415699816,0.6457480096,1.485899658,1.932642426
1759,1.554,21.62,7.172,0.7577451657,0.665961451,1.523928894,1.926537937
1773,1.596,21.61,7.481,0.7748060543,0.6875652381,1.564573902,1.927089862
1786,1.637,21.61,7.821,0.7909737569,0.7083066205,1.603596397,1.928543318
1800,1.674,21.6,8.143,0.8080110497,0.7304464531,1.645249913,1.920743121
1814,1.711,21.6,8.469,0.8254143646,0.753361619,1.688362129,1.911432656
1827,1.742,21.59,8.812,0.8411849678,0.7743885589,1.727921867,1.899563188
1840,1.774,21.59,9.125,0.8573377072,0.7961828257,1.768925241,1.887757374
1854,1.809,21.58,9.423,0.8743278085,0.8193884626,1.812583944,1.877009587
1867,1.846,21.58,9.784,0.8904730663,0.8417076741,1.85457494,1.871195961
1881,1.882,21.57,10.161,0.9074395718,0.8654430742,1.89923033,1.861474253
1895,1.936,21.56,10.602,0.9243899632,0.8894433836,1.944384117,1.871957261
1909,1.987,21.56,10.993,0.9417610497,0.9143374623,1.991219426,1.876768776
1923,2.028,21.55,11.387,0.9586872698,0.9388842755,2.037401396,1.871370142
1937,2.07,21.55,11.823,0.9760502993,0.964362243,2.085335224,1.865481579
1950,2.107,21.54,12.235,0.9917127072,0.9876034004,2.129060754,1.859045847
1963,2.152,21.53,12.671,1.007360152,1.011067314,2.173205374,1.860410256
1977,2.195,21.53,13.078,1.024707067,1.03736582,2.222682951,1.854697699
1989,2.233,21.52,13.511,1.039093002,1.059403634,2.26414453,1.85198534
2000,2.254,21.52,13.854,1.05271639,1.080464095,2.303767333,1.835322442
